id,spec,grade,wear,temp,target_torque,speed,label,label_name,length
E0075,M20,12.9,2,50,320.0,164.92,0,合格,96
E0076,M24,8.8,0,-10,520.0,134.09,0,合格,174
E0077,M12,10.9,1,20,80.0,171.94,0,合格,57
E0078,M16,12.9,2,50,180.0,131.03,0,合格,96
E0079,M20,8.8,0,-10,320.0,172.03,0,合格,112
E0080,M24,10.9,1,20,520.0,109.04,0,合格,186
E0081,M12,12.9,2,50,80.0,191.97,0,合格,47
E0082,M16,8.8,0,-10,180.0,119.5,0,合格,123
E0083,M20,10.9,1,20,320.0,165.98,0,合格,102
E0084,M24,12.9,2,50,520.0,159.61,0,合格,120
E0085,M12,8.8,0,-10,80.0,159.37,0,合格,63
E0086,M16,10.9,1,20,180.0,168.02,0,合格,76
E0087,M20,12.9,2,50,320.0,180.8,0,合格,89
E0088,M24,8.8,0,-10,520.0,188.51,0,合格,126
E0089,M12,10.9,1,20,80.0,192.56,0,合格,52
E0090,M16,12.9,2,50,180.0,130.27,0,合格,101
E0091,M20,8.8,0,-10,320.0,189.4,0,合格,100
E0092,M24,10.9,1,20,520.0,128.32,0,合格,167
E0093,M12,12.9,2,50,80.0,149.85,0,合格,62
E0094,M16,8.8,0,-10,180.0,172.39,0,合格,85
E0095,M20,10.9,1,20,320.0,141.71,0,合格,117
E0096,M24,12.9,2,50,520.0,124.62,0,合格,157
E0097,M12,8.8,0,-10,80.0,113.07,0,合格,91
E0098,M16,10.9,1,20,180.0,151.45,0,合格,87
E0099,M20,12.9,2,50,320.0,177.16,0,合格,85
E0100,M24,8.8,0,-10,520.0,159.33,0,合格,143
E0101,M12,10.9,1,20,80.0,181.64,0,合格,51
E0102,M16,12.9,2,50,180.0,159.49,0,合格,76
E0103,M20,8.8,0,-10,320.0,185.96,0,合格,99
E0104,M24,10.9,1,20,520.0,134.35,0,合格,153
E0105,M12,12.9,2,50,80.0,175.87,0,合格,49
E0106,M16,8.8,0,-10,180.0,122.9,0,合格,116
E0107,M20,10.9,1,20,320.0,144.38,0,合格,116
E0108,M24,12.9,2,50,520.0,178.76,0,合格,109
E0109,M12,8.8,0,-10,80.0,115.13,0,合格,87
E0110,M16,10.9,1,20,180.0,144.03,0,合格,93
E0111,M20,12.9,2,50,320.0,145.11,0,合格,110
E0112,M24,8.8,0,-10,520.0,128.63,0,合格,183
E0113,M12,10.9,1,20,80.0,159.45,0,合格,61
E0114,M16,12.9,2,50,180.0,179.35,0,合格,67
E0115,M20,8.8,0,-10,320.0,158.71,0,合格,113
E0116,M24,10.9,1,20,520.0,183.69,0,合格,115
E0117,M12,12.9,2,50,80.0,154.95,0,合格,56
E0118,M16,8.8,0,-10,180.0,130.29,0,合格,111
E0119,M20,10.9,1,20,320.0,170.37,0,合格,103
E0120,M24,12.9,2,50,520.0,176.44,0,合格,111
E0121,M12,8.8,0,-10,80.0,152.77,0,合格,66
E0122,M16,10.9,1,20,180.0,126.2,0,合格,104
E0123,M20,12.9,2,50,320.0,171.96,0,合格,91
E0124,M24,8.8,0,-10,520.0,140.19,0,合格,161
E0125,M12,10.9,1,20,80.0,180.1,0,合格,50
E0126,M16,12.9,2,50,180.0,156.31,0,合格,80
E0127,M20,8.8,0,-10,320.0,158.48,0,合格,121
E0128,M24,10.9,1,20,520.0,161.45,0,合格,127
E0129,M12,12.9,2,50,80.0,164.0,0,合格,55
E0130,M16,8.8,0,-10,180.0,151.72,0,合格,95
E0131,M20,10.9,1,20,320.0,146.67,0,合格,117
E0132,M24,12.9,2,50,520.0,186.44,0,合格,107
E0133,M12,8.8,0,-10,80.0,126.34,0,合格,83
E0134,M16,10.9,1,20,180.0,143.23,0,合格,90
E0135,M20,12.9,2,50,320.0,184.28,0,合格,88
E0136,M24,8.8,0,-10,520.0,168.31,0,合格,141
E0137,M12,10.9,1,20,80.0,183.11,0,合格,55
E0138,M16,12.9,2,50,180.0,156.13,0,合格,82
E0139,M20,8.8,0,-10,320.0,133.1,0,合格,133
E0140,M24,10.9,1,20,520.0,110.24,0,合格,187
E0141,M12,12.9,2,50,80.0,167.31,0,合格,55
E0142,M16,8.8,0,-10,180.0,145.67,0,合格,96
E0143,M20,10.9,1,20,320.0,130.49,0,合格,126
E0144,M24,12.9,2,50,520.0,170.49,0,合格,109
E0145,M12,8.8,0,-10,80.0,116.71,0,合格,86
E0146,M16,10.9,1,20,180.0,176.9,0,合格,77
E0147,M20,12.9,2,50,320.0,139.01,0,合格,116
E0148,M24,8.8,0,-10,520.0,172.12,0,合格,135
E0149,M12,10.9,1,20,80.0,116.09,0,合格,79
E0150,M16,12.9,2,50,180.0,120.54,0,合格,106
E0151,M20,8.8,0,-10,320.0,179.71,0,合格,102
E0152,M24,10.9,1,20,520.0,163.85,0,合格,136
E0153,M12,12.9,2,50,80.0,144.99,0,合格,57
E0154,M16,8.8,0,-10,180.0,170.82,0,合格,85
E0155,M20,10.9,1,20,320.0,113.66,0,合格,148
E0156,M24,12.9,2,50,520.0,158.2,0,合格,128
E0157,M12,8.8,0,-10,80.0,115.19,0,合格,92
E0158,M16,10.9,1,20,180.0,178.04,0,合格,71
E0159,M20,12.9,2,50,320.0,178.41,0,合格,89
E0160,M24,8.8,0,-10,520.0,186.53,0,合格,125
E0161,M12,10.9,1,20,80.0,132.49,0,合格,72
E0162,M16,12.9,2,50,180.0,173.13,0,合格,72
E0163,M20,8.8,0,-10,320.0,182.72,0,合格,98
E0164,M24,10.9,1,20,520.0,158.82,0,合格,138
E0165,M12,12.9,2,50,80.0,120.96,0,合格,73
E0166,M16,8.8,0,-10,180.0,168.69,0,合格,85
E0167,M20,10.9,1,20,320.0,181.0,0,合格,92
E0168,M24,12.9,2,50,520.0,165.68,0,合格,117
E0169,M12,8.8,0,-10,80.0,145.59,0,合格,70
E0170,M16,10.9,1,20,180.0,114.43,0,合格,116
E0171,M20,12.9,2,50,320.0,145.53,0,合格,110
E0172,M24,8.8,0,-10,520.0,143.02,0,合格,166
E0173,M12,10.9,1,20,80.0,126.85,0,合格,74
E0174,M16,12.9,2,50,180.0,146.58,0,合格,82
E0175,M20,8.8,0,-10,320.0,176.3,0,合格,103
E0176,M24,10.9,1,20,520.0,183.47,0,合格,119
E0177,M12,12.9,2,50,80.0,134.68,0,合格,62
E0178,M16,8.8,0,-10,180.0,127.81,0,合格,107
E0179,M20,10.9,1,20,320.0,115.93,0,合格,146
E0180,M24,12.9,2,50,520.0,131.16,0,合格,149
E0181,M12,8.8,0,-10,80.0,179.4,0,合格,55
E0182,M16,10.9,1,20,180.0,119.51,0,合格,111
E0183,M20,12.9,2,50,320.0,141.46,0,合格,114
E0184,M24,8.8,0,-10,520.0,158.56,0,合格,150
E0185,M12,10.9,1,20,80.0,136.28,0,合格,68
E0186,M16,12.9,2,50,180.0,108.9,0,合格,112
E0187,M20,8.8,0,-10,320.0,169.49,0,合格,102
E0188,M24,10.9,1,20,520.0,141.95,0,合格,151
E0189,M12,12.9,2,50,80.0,172.43,0,合格,54
E0190,M16,8.8,0,-10,180.0,165.49,0,合格,90
E0191,M20,10.9,1,20,320.0,144.34,0,合格,123
E0192,M24,12.9,2,50,520.0,148.33,0,合格,127
E0193,M12,8.8,0,-10,80.0,143.96,0,合格,69
E0194,M16,10.9,1,20,180.0,193.52,0,合格,70
E0195,M20,12.9,2,50,320.0,159.21,0,合格,105
E0196,M24,8.8,0,-10,520.0,116.27,0,合格,192
E0197,M12,10.9,1,20,80.0,154.33,0,合格,61
E0198,M16,12.9,2,50,180.0,158.37,0,合格,81
E0199,M20,8.8,0,-10,320.0,179.93,0,合格,101
E0200,M24,10.9,1,20,520.0,136.41,0,合格,158
E0201,M12,12.9,2,50,80.0,135.42,0,合格,62
E0202,M16,8.8,0,-10,180.0,125.97,0,合格,114
E0203,M20,10.9,1,20,320.0,117.29,0,合格,139
E0204,M24,12.9,2,50,520.0,119.42,0,合格,158
E0205,M12,8.8,0,-10,80.0,155.56,0,合格,65
E0206,M16,10.9,1,20,180.0,187.34,0,合格,70
E0207,M20,12.9,2,50,320.0,173.82,0,合格,91
E0208,M24,8.8,0,-10,520.0,130.12,0,合格,170
E0209,M12,10.9,1,20,80.0,184.2,0,合格,51
E0210,M16,12.9,2,50,180.0,121.87,0,合格,96
E0211,M20,8.8,0,-10,320.0,161.1,0,合格,112
E0212,M24,10.9,1,20,520.0,129.55,0,合格,166
E0213,M12,12.9,2,50,80.0,161.25,0,合格,53
E0214,M16,8.8,0,-10,180.0,144.72,0,合格,100
E0215,M20,10.9,1,20,320.0,142.58,0,合格,118
E0216,M24,12.9,2,50,520.0,121.87,0,合格,163
E0217,M12,8.8,0,-10,80.0,125.46,0,合格,79
E0218,M16,10.9,1,20,180.0,122.25,0,合格,109
E0219,M20,12.9,2,50,320.0,188.8,0,合格,80
E0220,M24,8.8,0,-10,520.0,149.52,0,合格,146
E0221,M12,10.9,1,20,80.0,115.15,0,合格,83
E0222,M16,12.9,2,50,180.0,183.16,0,合格,68
E0223,M20,8.8,0,-10,320.0,114.3,0,合格,161
E0224,M24,10.9,1,20,520.0,133.63,0,合格,155
E0225,M12,12.9,2,50,80.0,160.01,0,合格,53
E0226,M16,8.8,0,-10,180.0,145.77,0,合格,102
E0227,M20,10.9,1,20,320.0,182.59,0,合格,92
E0228,M24,12.9,2,50,520.0,197.11,0,合格,101
E0229,M12,8.8,0,-10,80.0,161.71,0,合格,65
E0230,M16,10.9,1,20,180.0,140.15,0,合格,94
E0231,M20,12.9,2,50,320.0,190.18,0,合格,84
E0232,M24,8.8,0,-10,520.0,193.93,0,合格,120
E0233,M12,10.9,1,20,80.0,158.8,0,合格,60
E0234,M16,12.9,2,50,180.0,161.08,0,合格,74
E0235,M20,8.8,0,-10,320.0,150.02,0,合格,126
E0236,M24,10.9,1,20,520.0,173.91,0,合格,122
E0237,M12,12.9,2,50,80.0,175.83,0,合格,50
E0238,M16,8.8,0,-10,180.0,120.19,0,合格,126
E0239,M20,10.9,1,20,320.0,111.84,0,合格,147
E0240,M24,12.9,2,50,520.0,178.06,0,合格,111
E0241,M12,8.8,0,-10,80.0,138.76,0,合格,71
E0242,M16,10.9,1,20,180.0,136.72,0,合格,97
E0243,M20,12.9,2,50,320.0,114.47,0,合格,138
E0244,M24,8.8,0,-10,520.0,143.11,0,合格,158
E0245,M12,10.9,1,20,80.0,133.1,0,合格,68
E0246,M16,12.9,2,50,180.0,158.49,0,合格,80
E0247,M20,8.8,0,-10,320.0,156.56,0,合格,119
E0248,M24,10.9,1,20,520.0,120.21,0,合格,179
E0249,M12,12.9,2,50,80.0,108.71,0,合格,86
E0250,M16,8.8,0,-10,180.0,183.12,0,合格,83
E0251,M20,10.9,1,20,320.0,165.76,0,合格,107
E0252,M24,12.9,2,50,520.0,111.01,0,合格,169
E0253,M12,8.8,0,-10,80.0,113.68,0,合格,88
E0254,M16,10.9,1,20,180.0,120.4,0,合格,109
E0255,M20,12.9,2,50,320.0,168.6,0,合格,89
E0256,M24,8.8,0,-10,520.0,160.12,0,合格,144
E0257,M12,10.9,1,20,80.0,136.81,0,合格,66
E0258,M16,12.9,2,50,180.0,139.53,0,合格,92
E0259,M20,8.8,0,-10,320.0,112.57,0,合格,159
E0260,M24,10.9,1,20,520.0,120.99,0,合格,177
E0261,M12,12.9,2,50,80.0,122.51,0,合格,73
E0262,M16,8.8,0,-10,180.0,163.58,0,合格,88
E0263,M20,10.9,1,20,320.0,123.28,0,合格,138
E0264,M24,12.9,2,50,520.0,140.23,0,合格,141
E0265,M12,8.8,0,-10,80.0,141.43,0,合格,74
E0266,M16,10.9,1,20,180.0,113.47,0,合格,114
E0267,M20,12.9,2,50,320.0,117.5,0,合格,130
E0268,M24,8.8,0,-10,520.0,128.47,0,合格,184
E0269,M12,10.9,1,20,80.0,181.15,0,合格,48
E0270,M16,12.9,2,50,180.0,178.26,0,合格,72
E0271,M20,8.8,0,-10,320.0,115.77,0,合格,158
E0272,M24,10.9,1,20,520.0,139.5,0,合格,157
E0273,M12,12.9,2,50,80.0,165.56,0,合格,53
E0274,M16,8.8,0,-10,180.0,172.89,0,合格,80
E0275,M20,10.9,1,20,320.0,166.71,0,合格,102
E0276,M24,12.9,2,50,520.0,136.47,0,合格,139
E0277,M12,8.8,0,-10,80.0,171.9,0,合格,59
E0278,M16,10.9,1,20,180.0,185.0,0,合格,70
E0279,M20,12.9,2,50,320.0,112.96,0,合格,140
E0280,M24,8.8,0,-10,520.0,119.24,0,合格,201
E0281,M12,10.9,1,20,80.0,156.95,0,合格,56
E0282,M16,12.9,2,50,180.0,167.91,0,合格,72
E0283,M20,8.8,0,-10,320.0,112.54,0,合格,168
E0284,M24,10.9,1,20,520.0,171.14,0,合格,126
E0285,M12,12.9,2,50,80.0,173.85,0,合格,53
E0286,M16,8.8,0,-10,180.0,155.92,0,合格,92
E0287,M20,10.9,1,20,320.0,131.99,0,合格,129
E0288,M24,12.9,2,50,520.0,168.44,0,合格,114
E0289,M12,8.8,0,-10,80.0,168.89,0,合格,57
E0290,M16,10.9,1,20,180.0,121.86,0,合格,105
E0291,M20,12.9,2,50,320.0,180.52,0,合格,88
E0292,M24,8.8,0,-10,520.0,109.37,0,合格,217
E0293,M12,10.9,1,20,80.0,113.66,0,合格,87
E0294,M16,12.9,2,50,180.0,137.81,0,合格,91
E0295,M20,8.8,0,-10,320.0,143.05,0,合格,127
E0296,M24,10.9,1,20,520.0,125.58,0,合格,168
E0297,M12,12.9,2,50,80.0,175.63,0,合格,51
E0298,M16,8.8,0,-10,180.0,175.28,0,合格,84
E0299,M20,10.9,1,20,320.0,166.23,0,合格,107
E0300,M24,12.9,2,50,520.0,153.31,0,合格,132
E0301,M12,8.8,0,-10,80.0,107.86,0,合格,95
E0302,M16,10.9,1,20,180.0,135.03,0,合格,99
E0303,M20,12.9,2,50,320.0,161.89,0,合格,101
E0304,M24,8.8,0,-10,520.0,147.22,0,合格,166
E0305,M12,10.9,1,20,80.0,171.79,0,合格,55
E0306,M16,12.9,2,50,180.0,160.38,0,合格,77
E0307,M20,8.8,0,-10,320.0,153.32,0,合格,113
E0308,M24,10.9,1,20,520.0,193.32,0,合格,109
E0309,M12,12.9,2,50,80.0,118.28,0,合格,76
E0310,M16,8.8,0,-10,180.0,190.28,0,合格,74
E0311,M20,10.9,1,20,320.0,115.56,0,合格,141
E0312,M24,12.9,2,50,520.0,154.83,0,合格,128
E0313,M12,8.8,0,-10,80.0,114.6,0,合格,87
E0314,M16,10.9,1,20,180.0,138.82,0,合格,102
E0315,M20,12.9,2,50,320.0,174.09,0,合格,93
E0316,M24,8.8,0,-10,520.0,129.95,0,合格,179
E0317,M12,10.9,1,20,80.0,113.61,0,合格,84
E0318,M16,12.9,2,50,180.0,135.7,0,合格,92
E0319,M20,8.8,0,-10,320.0,150.02,0,合格,125
E0320,M24,10.9,1,20,520.0,145.33,0,合格,143
E0321,M12,12.9,2,50,80.0,143.14,0,合格,59
E0322,M16,8.8,0,-10,180.0,128.42,0,合格,117
E0323,M20,10.9,1,20,320.0,140.68,0,合格,120
E0324,M24,12.9,2,50,520.0,143.54,0,合格,136
E0325,M12,8.8,0,-10,80.0,192.59,0,合格,51
E0326,M16,10.9,1,20,180.0,162.87,0,合格,79
E0327,M20,12.9,2,50,320.0,156.38,0,合格,107
E0328,M24,8.8,0,-10,520.0,147.51,0,合格,164
E0329,M12,10.9,1,20,80.0,165.92,0,合格,58
E0330,M16,12.9,2,50,180.0,156.7,0,合格,83
E0331,M20,8.8,0,-10,320.0,140.48,0,合格,127
E0332,M24,10.9,1,20,520.0,181.61,0,合格,119
E0333,M12,12.9,2,50,80.0,134.99,0,合格,66
E0334,M16,8.8,0,-10,180.0,126.98,0,合格,114
E0335,M20,10.9,1,20,320.0,121.47,0,合格,143
E0336,M24,12.9,2,50,520.0,131.82,0,合格,153
E0337,M12,8.8,0,-10,80.0,131.67,0,合格,76
E0338,M16,10.9,1,20,180.0,153.13,0,合格,85
E0339,M20,12.9,2,50,320.0,161.94,0,合格,100
E0340,M24,8.8,0,-10,520.0,122.69,0,合格,186
E0341,M12,10.9,1,20,80.0,171.23,0,合格,58
E0342,M16,12.9,2,50,180.0,154.69,0,合格,77
E0343,M20,8.8,0,-10,320.0,121.75,0,合格,142
E0344,M24,10.9,1,20,520.0,158.49,0,合格,129
E0345,M12,12.9,2,50,80.0,146.06,0,合格,64
E0346,M16,8.8,0,-10,180.0,185.37,0,合格,75
E0347,M20,10.9,1,20,320.0,142.36,0,合格,120
E0348,M24,12.9,2,50,520.0,170.47,0,合格,112
E0349,M12,8.8,0,-10,80.0,190.53,0,合格,52
E0350,M16,10.9,1,20,180.0,122.38,0,合格,105
E0351,M20,12.9,2,50,320.0,182.25,0,合格,87
E0352,M24,8.8,0,-10,520.0,158.58,0,合格,148
E0353,M12,10.9,1,20,80.0,120.01,0,合格,83
E0354,M16,12.9,2,50,180.0,170.38,0,合格,73
E0355,M20,8.8,0,-10,320.0,121.35,0,合格,157
E0356,M24,10.9,1,20,520.0,187.01,0,合格,112
E0357,M12,12.9,2,50,80.0,147.69,0,合格,65
E0358,M16,8.8,0,-10,180.0,157.44,0,合格,91
E0359,M20,10.9,1,20,320.0,169.39,0,合格,103
E0360,M24,12.9,2,50,520.0,179.66,0,合格,109
E0361,M12,8.8,0,-10,80.0,139.22,0,合格,69
E0362,M16,10.9,1,20,180.0,184.56,0,合格,73
E0363,M20,12.9,2,50,320.0,168.29,0,合格,94
E0364,M24,8.8,0,-10,520.0,164.28,0,合格,143
E0365,M12,10.9,1,20,80.0,131.04,0,合格,67
E0366,M16,12.9,2,50,180.0,181.87,0,合格,66
E0367,M20,8.8,0,-10,320.0,124.67,0,合格,148
E0368,M24,10.9,1,20,520.0,170.25,0,合格,123
E0369,M12,12.9,2,50,80.0,165.98,0,合格,51
E0370,M16,8.8,0,-10,180.0,154.72,0,合格,97
E0371,M20,10.9,1,20,320.0,128.27,0,合格,137
E0372,M24,12.9,2,50,520.0,112.17,0,合格,174
E0373,M12,8.8,0,-10,80.0,168.0,0,合格,62
E0374,M16,10.9,1,20,180.0,144.41,0,合格,96
E0375,M20,12.9,2,50,320.0,144.22,0,合格,110
E0376,M24,8.8,0,-10,520.0,152.05,0,合格,145
E0377,M12,10.9,1,20,80.0,179.3,0,合格,51
E0378,M16,12.9,2,50,180.0,187.09,0,合格,70
E0379,M20,8.8,0,-10,320.0,167.53,0,合格,109
E0380,M24,10.9,1,20,520.0,128.59,0,合格,165
E0381,M12,12.9,2,50,80.0,179.12,0,合格,49
E0382,M16,8.8,0,-10,180.0,189.46,0,合格,73
E0383,M20,10.9,1,20,320.0,155.03,0,合格,111
E0384,M24,12.9,2,50,520.0,122.89,0,合格,157
E0385,M12,8.8,0,-10,80.0,136.77,0,合格,73
E0386,M16,10.9,1,20,180.0,143.39,0,合格,88
E0387,M20,12.9,2,50,320.0,195.75,0,合格,79
E0388,M24,8.8,0,-10,520.0,112.47,0,合格,211
E0389,M12,10.9,1,20,80.0,110.42,0,合格,83
E0390,M16,12.9,2,50,180.0,164.54,0,合格,80
E0391,M20,8.8,0,-10,320.0,114.05,0,合格,155
E0392,M24,10.9,1,20,520.0,108.68,0,合格,198
E0393,M12,12.9,2,50,80.0,165.28,0,合格,51
E0394,M16,8.8,0,-10,180.0,135.78,0,合格,107
E0395,M20,10.9,1,20,320.0,109.92,0,合格,157
E0396,M24,12.9,2,50,520.0,174.45,0,合格,111
E0397,M12,8.8,0,-10,80.0,182.94,0,合格,56
E0398,M16,10.9,1,20,180.0,177.08,0,合格,71
E0399,M20,12.9,2,50,320.0,169.73,0,合格,95
E0400,M24,8.8,0,-10,520.0,157.74,0,合格,141
E0401,M12,10.9,1,20,80.0,193.55,0,合格,47
E0402,M16,12.9,2,50,180.0,159.49,0,合格,79
E0403,M20,8.8,0,-10,320.0,142.93,0,合格,130
E0404,M24,10.9,1,20,520.0,174.21,0,合格,123
E0405,M12,12.9,2,50,80.0,162.8,0,合格,54
E0406,M16,8.8,0,-10,180.0,185.65,0,合格,83
E0407,M20,10.9,1,20,320.0,134.43,0,合格,124
E0408,M24,12.9,2,50,520.0,182.21,0,合格,106
E0409,M12,8.8,0,-10,80.0,130.36,0,合格,77
E0410,M16,10.9,1,20,180.0,116.3,0,合格,115
E0411,M20,12.9,2,50,320.0,132.67,0,合格,118
E0412,M24,8.8,0,-10,520.0,120.41,0,合格,185
E0413,M12,10.9,1,20,80.0,185.44,0,合格,49
E0414,M16,12.9,2,50,180.0,141.76,0,合格,90
E0415,M20,8.8,0,-10,320.0,134.89,0,合格,142
E0416,M24,10.9,1,20,520.0,151.6,0,合格,139
E0417,M12,12.9,2,50,80.0,131.25,0,合格,69
E0418,M16,8.8,0,-10,180.0,141.35,0,合格,104
E0419,M20,10.9,1,20,320.0,118.21,0,合格,143
E0420,M24,12.9,2,50,520.0,117.86,0,合格,162
E0421,M12,8.8,0,-10,80.0,112.59,0,合格,84
E0422,M16,10.9,1,20,180.0,180.84,0,合格,74
E0423,M20,12.9,2,50,320.0,117.93,0,合格,135
E0424,M24,8.8,0,-10,520.0,139.81,0,合格,164
E0425,M12,10.9,1,20,80.0,193.24,0,合格,49
E0426,M16,12.9,2,50,180.0,137.52,0,合格,87
E0427,M20,8.8,0,-10,320.0,131.03,0,合格,139
E0428,M24,10.9,1,20,520.0,156.19,0,合格,133
E0429,M12,12.9,2,50,80.0,138.23,0,合格,69
E0430,M16,8.8,0,-10,180.0,146.97,0,合格,93
E0431,M20,10.9,1,20,320.0,117.38,0,合格,147
E0432,M24,12.9,2,50,520.0,111.56,0,合格,183
E0433,M12,8.8,0,-10,80.0,173.05,0,合格,56
E0434,M16,10.9,1,20,180.0,179.75,0,合格,75
E0435,M20,12.9,2,50,320.0,175.97,0,合格,95
E0436,M24,8.8,0,-10,520.0,144.73,0,合格,158
E0437,M12,10.9,1,20,80.0,143.7,0,合格,67
E0438,M16,12.9,2,50,180.0,174.17,0,合格,69
E0439,M20,8.8,0,-10,320.0,166.75,0,合格,109
E0440,M24,10.9,1,20,520.0,154.39,0,合格,141
E0441,M12,12.9,2,50,80.0,143.35,0,合格,58
E0442,M16,8.8,0,-10,180.0,157.04,0,合格,89
E0443,M20,10.9,1,20,320.0,156.02,0,合格,105
E0444,M24,12.9,2,50,520.0,133.38,0,合格,146
E0445,M12,8.8,0,-10,80.0,146.92,0,合格,66
E0446,M16,10.9,1,20,180.0,170.16,0,合格,77
E0447,M20,12.9,2,50,320.0,162.72,0,合格,97
E0448,M24,8.8,0,-10,520.0,121.24,0,合格,179
E0449,M12,10.9,1,20,80.0,179.27,0,合格,51
E0450,M16,12.9,2,50,180.0,125.87,0,合格,101
E0451,M20,8.8,0,-10,320.0,114.59,0,合格,158
E0452,M24,10.9,1,20,520.0,121.75,0,合格,168
E0453,M12,12.9,2,50,80.0,172.38,0,合格,50
E0454,M16,8.8,0,-10,180.0,123.35,0,合格,120
E0455,M20,10.9,1,20,320.0,123.93,0,合格,142
E0456,M24,12.9,2,50,520.0,178.65,0,合格,108
E0457,M12,8.8,0,-10,80.0,165.3,0,合格,63
E0458,M16,10.9,1,20,180.0,149.64,0,合格,87
E0459,M20,12.9,2,50,320.0,131.0,0,合格,119
